YEAR.x;pltID;LAT;LON;state.x;species;gdd;abundance
2014;8_42_131_3464;41.41335;-76.14119;PA;;609.0943;1553.468
2016;3_50_27_1226;43.33738;-72.86101;VT;;439.4757;1497.077
2015;1_36_33_4650;44.59652;-74.42783;NY;;475.556;1466.467
2016;3_23_19_1586;45.4889;-68.77115;ME;;391.6375;1421.592
2015;3_23_19_982;45.39849;-68.73404;ME;;414.5695;1409.556
2016;3_50_3_1633;43.03741;-73.24225;VT;;473.8238;1394.771
2016;4_36_31_31;44.40042;-73.94128;NY;;412.5997;1373.447
2015;4_23_9_167;44.73033;-68.47001;ME;;410.3211;1292.464
2016;3_33_13_667;43.19739;-72.00315;NH;;453.2064;1286.446
2016;5_23_21_2179;45.25802;-69.54191;ME;;335.918;1247.589
2016;1_9_7_627;41.36998;-72.49725;CT;;650.2986;1217.499
2016;3_50_21_1487;43.38951;-72.96292;VT;;439.4757;1202.714
2013;6_42_117_3403;41.59585;-77.54845;PA;;585.4882;1199.445
2015;2_33_9_2866;44.04229;-71.36983;NH;;251.318;1191.198
2013;2_54_71_5126;38.63551;-79.61929;WV;;624.8543;1142.533
2016;5_23_21_1269;45.54095;-69.37129;ME;;307.1668;1130.497
2015;1_23_29_348;45.46467;-67.65426;ME;;379.8303;1124.479
2016;4_36_41_4713;43.37751;-74.63334;NY;;399.841;1121.73
2015;3_23_19_745;45.84448;-68.71334;ME;;387.533;1109.694
2016;2_54_83_8101;38.71772;-79.57074;WV;;574.8914;1100.928
2013;3_50_3_2637;42.84774;-72.98994;VT;;478.396;1091.64
2015;2_33_7_760;44.37503;-71.34482;NH;;257.3235;1091.64
2016;6_42_83_1870;41.74227;-78.7949;PA;;572.6148;1085.622
2014;2_54_71_7751;38.68438;-79.59214;WV;;606.6203;1079.604
2015;1_23_29_70;45.5422;-67.58145;ME;;371.3718;1070.837
2014;2_33_9_2841;44.21693;-71.43406;NH;;251.8943;1055.532
2014;4_36_41_1452;44.01038;-74.45526;NY;;460.8241;1022.693
2014;1_36_33_1233;44.13969;-74.3243;NY;;460.8241;1010.657
2013;2_33_3_1542;44.01413;-71.36368;NH;;264.0996;1007.908
2014;4_36_41_6138;43.3785;-74.51459;NY;;427.1237;1004.639
2014;2_33_3_1501;44.13182;-71.01893;NH;;352.4024;995.8721
2016;7_23_25_522;45.32199;-69.7343;ME;;335.918;992.6028
2013;4_36_31_1621;43.86981;-73.90384;NY;;463.911;983.836
2016;8_36_111_3817;42.04407;-74.62481;NY;;448.0345;983.836
2016;2_33_7_274;45.01924;-71.16729;NH;;326.4847;980.5667
2015;1_36_89_1744;44.13394;-74.67293;NY;;474.0388;977.818
2016;1_25_3_875;42.43343;-73.06609;MA;;510.3772;977.818
2015;1_36_89_3427;44.35458;-74.75707;NY;;502.8627;963.0332
2016;1_36_89_4052;44.3907;-74.70786;NY;;468.2125;963.0332
2014;2_33_7_1855;44.16664;-71.30273;NH;;251.8943;959.7638
2014;4_36_31_730;44.23421;-73.54259;NY;;483.6925;953.7458
2014;7_42_111_4342;39.86016;-79.0456;PA;;675.7218;953.7458
2014;4_36_31_511;44.41193;-73.94843;NY;;429.3666;947.7278
2016;3_50_25_1240;42.8385;-72.81609;VT;;439.4652;929.6736
2015;6_42_105_6130;41.81883;-77.74907;PA;;523.4263;914.8888
2016;5_23_21_14;45.22097;-69.58483;ME;;353.7646;908.8707
2016;2_33_9_1936;43.95739;-71.74144;NH;;389.9729;908.8707
2015;5_23_21_1179;45.23733;-69.62878;ME;;359.528;905.6014
2015;6_42_117_1616;41.63968;-76.96259;PA;;546.5187;905.6014
2016;1_36_19_6058;44.50598;-73.67684;NY;;522.1888;878.7805
